memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,cold,True,3823465,0.285074,13898397,4385470,87.0
128,cold,True,3413290,0.285631,8082380,3752120,87.0
128,cold,True,4015421,0.290514,11033452,4616470,87.0
128,cold,True,3909403,0.070616,11794594,4547560,87.0
128,cold,True,3781585,0.335353,9104868,4382020,87.0
128,cold,True,3865113,0.301754,9020598,4485310,87.0
128,cold,True,3989240,0.33672,9337666,4610840,87.0
128,cold,True,4059137,0.30755,11645921,4538480,87.0
128,cold,True,3853104,0.284561,14217009,4434790,87.0
128,cold,True,3835373,0.320147,11821388,4416680,87.0
128,cold,True,3888550,0.338374,11140596,4508500,87.0
128,cold,True,3792211,0.280746,14716776,4412200,87.0
128,cold,True,4012569,0.289804,11082600,4614510,87.0
128,cold,True,3818630,0.288985,11496364,4380730,87.0
128,cold,True,3756051,0.295768,10933903,4316790,87.0
128,cold,True,3914994,0.101942,5321628,4456580,87.0
128,cold,True,3747461,0.297014,10753323,4347200,87.0
128,cold,True,3826457,0.076763,12441014,4426360,87.0
128,cold,True,3842796,0.294425,10224708,4444150,87.0
128,cold,True,3973396,0.291606,14299351,0,
128,cold,True,4116014,0.290205,12290758,4614430,87.0
128,cold,True,3961165,0.279373,11847279,4581790,87.0
128,cold,True,3845514,0.293998,11159759,4445610,87.0
128,cold,True,3265728,0.271997,9107085,3623020,87.0
128,cold,True,3883613,0.294848,11296291,4464070,87.0
128,cold,True,3875458,0.283373,11872055,4456960,87.0
128,cold,True,3819342,0.32573,11533978,4438070,87.0
128,cold,True,3949173,0.335465,11553674,4549240,87.0
128,cold,True,3883777,0.292695,11248050,4466440,87.0
128,cold,True,3860663,0.296639,11299016,4442080,87.0
128,cold,True,3935785,0.291133,9313583,4517840,87.0
128,cold,True,3923357,0.311431,10787861,4506240,87.0
128,cold,True,3879640,0.280582,14157062,4462210,87.0
128,cold,True,3778818,0.291643,11879472,4377640,87.0
128,cold,True,3482212,0.335706,4273482,3765580,87.0
128,cold,True,3876409,0.295893,11883947,4457690,87.0
128,cold,True,3961456,0.304193,11382396,4560870,87.0
128,cold,True,3787196,0.288947,14776542,4387400,87.0
128,cold,True,3873712,0.328163,11788665,4454440,87.0
128,cold,True,3292008,0.296787,9841835,0,
128,cold,True,3780452,1.395152,11399592,4361150,87.0
128,cold,True,3756337,0.282392,11433248,4395260,87.0
128,cold,True,3855799,0.341764,10724498,4438120,87.0
128,cold,True,3832052,0.278284,13891428,4413910,87.0
128,cold,True,3685064,0.286101,14203592,4246320,87.0
128,cold,True,3864810,0.283637,12630873,4465660,87.0
128,cold,True,3304075,0.280535,8789035,3605700,87.0
128,cold,True,3856585,0.287697,13938315,4437150,87.0
128,cold,True,3825996,0.284272,11104485,4443230,87.0
128,cold,True,3820344,0.277542,14616051,4404230,87.0
128,cold,True,3792202,0.328873,11112388,4490590,87.0
128,cold,True,3904589,0.295527,14016827,4527240,87.0
128,cold,True,3362965,0.28284,8604072,3701820,87.0
128,cold,True,3223964,0.280131,11624307,3562540,87.0
128,cold,True,3832188,0.290913,14926629,4451230,87.0
128,cold,True,3736120,0.29013,11336530,4354500,87.0
128,cold,True,3893205,0.291467,11609364,4494880,87.0
128,cold,True,4017454,0.278458,11660281,4476870,87.0
128,cold,True,3908001,0.319312,10293668,4509150,87.0
128,cold,True,3811300,0.324353,11403009,4411520,87.0
128,cold,True,3836876,0.294241,14088491,4418880,87.0
128,cold,True,3952403,0.27663,11712300,4393640,87.0
128,cold,True,4071280,0.287146,11083435,4530350,87.0
128,cold,True,3865764,0.283881,11585434,4466790,87.0
128,cold,True,3862255,0.295008,11139781,4443100,87.0
128,cold,True,3820751,0.306063,11412659,4383750,87.0
128,cold,True,3875216,0.294856,14076326,4437320,87.0
128,cold,True,3843868,0.331419,9322696,4406920,87.0
128,cold,True,3852421,0.319274,11468538,4415300,87.0
128,cold,True,3898060,0.297065,11582879,4480560,87.0
128,cold,True,3775595,0.300487,10424696,4356410,87.0
128,cold,True,3866429,0.286026,11930337,4448040,87.0
128,cold,True,3818143,0.294027,10593982,4398410,87.0
128,cold,True,3806582,0.298154,11523084,4368330,87.0
128,cold,True,3935236,0.330795,9446279,4536520,87.0
128,cold,True,3848821,0.338349,10958037,4429480,87.0
128,cold,True,4009463,0.282125,9562316,4450980,87.0
128,cold,True,3859486,0.337158,9687330,4479070,87.0
128,cold,True,3861462,0.281064,13762600,4463250,87.0
128,cold,True,3784667,1.396269,10480019,4366270,87.0
128,cold,True,3773254,0.322137,9801855,4316350,87.0
128,cold,True,3956927,0.319421,10265178,4378340,87.0
128,cold,True,4067346,0.276107,10208094,4566940,87.0
128,cold,True,3846552,0.297566,11723357,4429260,87.0
128,cold,True,3824487,0.311569,11007976,4367230,87.0
128,cold,True,3853034,0.288596,14330462,0,
128,cold,True,3882678,0.306213,9450151,4284640,87.0
128,cold,True,3953733,0.285521,13488577,4392870,87.0
128,cold,True,3959361,0.281457,11545226,4542080,87.0
128,cold,True,3918879,0.330109,8874472,4520800,87.0
128,cold,True,3820205,0.283128,12287940,4383470,87.0
128,cold,True,3875127,0.318053,11527959,4513190,87.0
128,cold,True,3946921,0.272809,11449963,4528760,87.0
128,cold,True,4054638,0.297211,11892432,4514210,87.0
128,cold,True,3802739,0.323568,9724844,4384220,87.0
128,cold,True,3796882,0.298905,11275532,4436010,87.0
128,cold,True,3838423,0.275269,13403000,4420060,87.0
128,cold,True,3910010,0.329205,9912420,4508950,87.0
128,cold,True,3907393,0.336914,8735649,4508420,87.0
128,cold,True,3872099,0.303348,11741293,4491200,87.0
128,cold,True,3875318,0.287685,14240624,4477020,87.0
128,cold,True,3826621,0.296736,11310522,4407990,87.0
128,cold,True,3800653,0.3249,11212807,4382670,87.0
128,cold,True,3850565,0.295274,11181564,4431920,87.0
128,cold,True,3768016,0.276197,13636021,4367630,87.0
128,cold,True,3824959,0.294801,10143300,4445200,87.0
128,cold,True,3899205,0.289525,13947540,4480770,87.0
128,cold,True,3461252,0.277309,11857065,3800450,87.0
128,cold,True,3806395,0.340649,8792790,4386910,87.0
128,cold,True,4015148,0.290976,11514618,4616950,87.0
128,cold,True,3933576,0.287492,10843573,4514490,87.0
128,cold,True,3872234,0.278052,11085237,4455640,87.0
128,cold,True,3816311,0.324128,9950817,4436550,87.0
128,cold,True,3881580,0.342173,12067120,4481630,87.0
128,cold,True,3218641,0.291872,10396635,3538630,87.0
128,cold,True,3869440,0.295066,9179117,4470110,87.0
128,cold,True,3948235,0.075394,10649044,4549910,87.0
128,cold,True,4058963,0.288481,11502111,4461310,87.0
128,cold,True,3837156,0.337944,11357138,4399610,87.0
128,cold,True,3849826,0.304698,7987802,4432040,87.0
128,warm,False,1808417,0.288876,5925131,2109210,90.0
128,warm,False,2245670,0.284923,9570119,0,
128,warm,False,1750474,0.296916,8451294,0,
128,warm,False,2244748,0.28904,9209447,2788640,90.0
128,warm,False,2238293,0.298538,10638689,0,
128,warm,False,2220660,0.432818,10162358,2819320,90.0
128,warm,False,1785971,0.439246,6036210,2106260,90.0
128,warm,False,2290422,0.139631,7532638,0,
128,warm,False,2294177,0.280906,11849276,2873880,90.0
128,warm,False,1731492,0.29518,6675823,0,
128,warm,False,2247068,0.350613,8247946,0,
128,warm,False,1750600,0.290766,6292639,0,
128,warm,False,2375562,0.293108,10377497,0,
128,warm,False,1764895,0.30215,8904259,0,
128,warm,False,2222898,0.274198,9299661,0,
128,warm,False,2259167,0.350785,10207452,0,
128,warm,False,2252219,0.425974,6938573,0,
128,warm,False,2251112,0.431614,6943659,0,
128,warm,False,2345600,0.429206,6225039,2888630,90.0
128,warm,False,1785756,0.301063,10575094,2068469,90.0
128,warm,False,2224458,0.43914,10024337,0,
128,warm,False,2219685,0.294879,12798536,0,
128,warm,False,2251228,0.422552,10297134,2870920,90.0
128,warm,False,2243858,0.290289,9711599,0,
128,warm,False,2254178,0.360487,10046171,0,
128,warm,False,2229446,0.301516,10491302,2828400,90.0
128,warm,False,2228937,0.281819,7697795,0,
128,warm,False,2229604,0.291266,8076288,0,
128,warm,False,1742417,0.446204,5868012,0,
128,warm,False,2225175,0.351543,9793355,0,
128,warm,False,2381083,0.361743,8154841,0,
128,warm,False,2303822,0.356599,7374799,0,
128,warm,False,2207027,0.356204,8132136,0,
128,warm,False,2450157,0.424141,9649633,0,
128,warm,False,2221698,0.295469,12078097,2820710,90.0
128,warm,False,2272236,0.28691,11978025,0,
128,warm,False,2206610,0.287247,8307679,0,
128,warm,False,2244790,0.283527,7615601,0,
128,warm,False,2203608,0.275413,10063943,2803050,90.0
128,warm,False,1767452,0.441439,5328052,0,
128,warm,False,2259952,0.347778,10346246,0,
128,warm,False,1793986,0.293535,5689258,0,
128,warm,False,2209668,0.350088,9219985,0,
128,warm,False,2196153,0.366967,10802412,0,
128,warm,False,2315250,0.349812,10406884,0,
128,warm,False,2218811,0.286066,12945690,0,
128,warm,False,2302442,0.292774,13124539,2723400,90.0
128,warm,False,1799041,0.370794,6838924,0,
128,warm,False,2212718,0.291753,12847288,2773990,90.0
128,warm,False,2245959,0.285786,7768090,0,
128,warm,False,2257857,0.280442,7674104,0,
128,warm,False,2339307,0.292104,6578533,2798600,90.0
128,warm,False,2249963,0.424472,9257737,0,
128,warm,False,2224240,0.294447,9587495,2803820,90.0
128,warm,False,2221039,0.368773,7764840,0,
128,warm,False,2342929,0.282058,10291587,0,
128,warm,False,2218410,0.351587,9432712,0,
128,warm,False,2362480,0.279849,8745511,0,
128,warm,False,2279649,0.286409,12908228,2858840,90.0
128,warm,False,2214622,0.287921,12671741,0,
128,warm,False,2210195,0.297253,11332785,0,
128,warm,False,2247052,0.28126,9287165,0,
128,warm,False,2206614,0.438809,9994813,0,
128,warm,False,2173927,0.286485,9665745,0,
128,warm,False,2204664,0.29587,11987404,0,
128,warm,False,2344930,0.435187,8246231,0,
128,warm,False,2363621,0.28746,12627085,0,
128,warm,False,2197572,0.428889,10131812,0,
128,warm,False,2185740,0.3021,12518199,0,
128,warm,False,2238750,0.427787,10058546,0,
128,warm,False,2274904,0.355421,9255047,0,
128,warm,False,2198263,0.353509,9478169,0,
128,warm,False,2263042,0.438644,8384958,2861840,90.0
128,warm,False,1753765,0.302363,8124991,0,
128,warm,False,2464758,0.204837,10609402,0,
128,warm,False,2204651,0.289144,10071463,0,
128,warm,False,2322693,0.361279,9992638,0,
128,warm,False,2236096,0.360632,9785398,0,
128,warm,False,2292155,0.36179,7407919,0,
128,warm,False,2335740,0.426496,9771973,2877270,90.0
128,warm,False,2391001,0.361368,9372447,0,
128,warm,False,2327128,0.42439,8555928,0,
128,warm,False,2179378,0.289286,12004481,0,
128,warm,False,2254349,0.423428,8133303,0,
128,warm,False,2245021,0.4271,9850012,0,
128,warm,False,2267468,0.437811,8361608,2847440,90.0
128,warm,False,2208595,0.291479,11767073,2769910,90.0
128,warm,False,1757476,0.365789,6342510,0,
128,warm,False,2208637,0.351147,9325390,0,
128,warm,False,2226441,0.426625,8598224,2806780,90.0
128,warm,False,2246482,0.270687,9560415,0,
128,warm,False,2247436,0.283903,10039634,2846970,90.0
128,warm,False,2387432,0.076906,8737920,0,
128,warm,False,2260718,0.289699,9196016,0,
128,warm,False,2300045,0.285301,10331084,0,
128,warm,False,2295994,0.287068,11273146,2857930,90.0
128,warm,False,2175045,0.28125,12815217,0,
128,warm,False,2239427,0.288801,12582276,0,
128,warm,False,2229479,0.286451,10415490,0,
128,warm,False,2323640,0.345239,9780259,2904020,90.0
128,warm,False,2245029,0.367378,9340230,0,
128,warm,False,1783956,0.368543,5359780,0,
128,warm,False,2241365,0.357402,9562442,0,
128,warm,False,2306257,0.07294,12297242,0,
128,warm,False,1791686,0.439329,5659726,2073889,90.0
128,warm,False,2400044,0.4276,9304308,2819880,90.0
128,warm,False,2207940,0.284341,9894898,0,
128,warm,False,1747015,0.366327,5677573,0,
128,warm,False,2268016,0.275015,9317115,0,
128,warm,False,2258330,0.357905,7492664,2819270,90.0
128,warm,False,2246072,0.433641,8926248,2804620,90.0
128,warm,False,2311631,0.439704,9351794,0,
128,warm,False,2256938,0.28475,8543627,0,
128,warm,False,2214474,0.434531,9626653,2755770,90.0
128,warm,False,2314377,0.270894,9069600,0,
128,warm,False,2279035,0.283604,9840746,0,
128,warm,False,2237966,0.424855,9657019,2837820,90.0
128,warm,False,2217776,0.29247,10941848,0,
128,warm,False,2221275,0.363918,9717550,0,
128,warm,False,2233207,0.43411,9223662,0,
